date,USDT,total_market_cap,usdt_dominance
2023-09-11,24650672494.28606,379441993471048.3,0.006496558872882615
2023-09-12,26627291058.97687,492956864585826.75,0.005401545849523493
2023-09-13,20531940157.13977,350964095700910.6,0.005850154021064581
2023-09-14,21257126734.896473,375668546321297.25,0.00565847924801134
2023-09-15,19302117169.413174,312726450972042.3,0.006172204848491942
2023-09-16,14322137654.95437,201391886814387.78,0.007111576281200605
2023-09-17,12734783090.7034,184779204660849.6,0.006891891928032312
2023-09-18,23175023099.594597,427620639141450.56,0.005419528661227374
2023-09-19,19875149504.080578,383074882948963.94,0.005188319670315867
2023-09-20,20835391102.3518,368819326146591.06,0.005649213483479593
2023-09-21,65288888572.75261,363626103163623.2,0.01795495097979095
2023-09-22,16422568093.887886,286771825244597.8,0.00572670208444658
2023-09-23,12105865623.649414,200223212633269.4,0.006046184887574761
2023-09-24,13178993921.265842,220074572656699.34,0.005988421907252382
2023-09-25,18406836601.432735,322591185730858.44,0.005705932900717806
2023-09-26,17442152293.408432,267594195107602.22,0.006518135524724209
2023-09-27,20999527872.240223,317838168409926.3,0.006606987441846961
2023-09-28,23496870416.63973,391549662445181.7,0.00600099365937504
2023-09-29,33746271877.50429,289122433090588.0,0.011671965926950708
2023-09-30,28341792661.786045,149133891422785.88,0.019004260125848067
2023-10-01,26884982670.64022,274848705293680.4,0.009781738881364993
2023-10-02,33787196862.12908,559079393795164.6,0.006043362935051766
2023-10-03,28995045018.02034,320885875528360.75,0.00903593683276897
2023-10-04,21148173394.014004,318338383847476.06,0.006643299855460291
2023-10-05,18818005566.75311,334436912025253.06,0.005626772909962814
2023-10-06,19160526128.280106,385287065568713.2,0.004973052002147465
2023-10-07,11012383037.546656,187560176842118.9,0.005871386572010148
2023-10-08,12494156060.848341,226650224310699.66,0.0055125275515813905
2023-10-09,20685892673.918022,342423859619799.0,0.006041019658176284
2023-10-10,17386313498.683365,281535096389372.7,0.006175540357724174
2023-10-11,19940751596.06245,375348012172746.06,0.005312603490460244
2023-10-12,16229951149.798079,259114356027934.16,0.006263624832909061
2023-10-13,21157208801.585052,414567379536160.2,0.005103442732338674
2023-10-14,9990917910.893541,148568920779036.1,0.006724769796068489
2023-10-15,12501085586.598007,197431147921178.1,0.006331870993116501
2023-10-16,47733413768.42867,808146834582412.1,0.005906527344513279
2023-10-17,38349399705.589966,430619467000242.0,0.008905635403047956
2023-10-18,32826531091.31008,367363042193556.9,0.008935719525649612
2023-10-19,33086205879.50169,422948603180099.9,0.007822748587116844
2023-10-20,40817246929.01255,650222285379638.9,0.006277429710853572
2023-10-21,31225359855.895138,352286020004087.06,0.008863638658023636
2023-10-22,33190354183.554344,322188329091453.2,0.010301538319885343
2023-10-23,50258584575.45497,1294918348399556.8,0.003881216498134545
2023-10-24,60390888109.88856,1551982649237922.0,0.003891208973215171
2023-10-25,37048348731.01269,888407370436124.8,0.004170198263081206
2023-10-26,34407365718.68052,683941895575335.5,0.005030743977123504
2023-10-27,26947081965.841335,570259975972608.9,0.004725402991833969
2023-10-28,17106484733.15007,353960376500353.7,0.004832881268317042
2023-10-29,17952777922.546932,393373379363951.94,0.0045638009240927535
2023-10-30,28779963236.533913,606695411915723.6,0.004743725215533978
2023-10-31,29344580575.431286,558244292518243.4,0.005256584074161816
2023-11-01,39937622392.01293,815354618516263.1,0.004898190490990189
2023-11-02,37069497950.081474,750113391253881.6,0.004941852576197379
2023-11-03,30770854481.11904,610108596837957.4,0.005043504490937646
2023-11-04,20055543634.76595,344581683245253.8,0.00582025818838767
2023-11-05,27559404953.262966,452032251528715.8,0.006096778462169579
2023-11-06,29007671972.754665,460358633260229.75,0.006301103069866253
2023-11-07,37152528810.38681,685209773208991.5,0.005422066389449345
2023-11-08,31450284947.486435,629610813497216.5,0.004995194534984822
2023-11-09,71688462472.17813,1438535966980375.2,0.0049834320529822465
2023-11-10,50393287831.87635,878586828744295.4,0.0057357208397831394
2023-11-11,40486119369.06996,538631238972532.2,0.007516481859889781
2023-11-12,34095798336.45159,444486802109346.75,0.007670823559810399
2023-11-13,47641257077.70849,725516402939159.2,0.006566530664876452
2023-11-14,47914841790.82263,874204385994746.1,0.005480965613813632
2023-11-15,49933315812.45453,1063193976258281.2,0.004696538630531541
2023-11-16,52460456953.320244,969545126684927.8,0.005410831895230419
2023-11-17,45835769919.77726,845153381825678.5,0.005423367036734091
2023-11-18,30567677901.14431,451009739094096.75,0.006777609273481077
2023-11-19,28622096619.941986,498732772639715.75,0.005738964469579498
2023-11-20,40595045003.009445,809333839041009.6,0.0050158590985286185
2023-11-21,48951493372.83085,928708805628902.2,0.005270919482633947
2023-11-22,43637736013.20776,941336396516727.2,0.004635721743542754
2023-11-23,28644390899.56238,546509217325650.4,0.005241337198251489
2023-11-24,40085700363.98388,890206566303131.9,0.004502966152053068
2023-11-25,23056131398.153564,355341335276409.5,0.00648844620911296
2023-11-26,30306198094.225254,531992228495970.44,0.005696736995558349
2023-11-27,38567813125.741455,729675238716268.9,0.005285613527683154
2023-11-28,37734759493.17272,841383055020127.9,0.004484848995713375
2023-11-29,35122799971.97807,803205173205827.4,0.004372830397965775
2023-11-30,29252373664.29396,700087859521147.4,0.004178386079184729
2023-12-01,36745132644.971985,932628287624028.4,0.003939954763605143
2023-12-02,31097892095.599358,633272799931026.0,0.004910662845299283
2023-12-03,32516658696.357536,648899871440919.0,0.005011044095933083
2023-12-04,74528430930.19888,1710117460975053.0,0.004358088413862824
2023-12-05,59536752708.906715,1636321081075918.5,0.0036384517315978067
2023-12-06,57076156322.90155,1337442549828420.2,0.004267559479861308
2023-12-07,52230530140.72969,1231699140669570.5,0.0042405266364265205
2023-12-08,48985707420.5954,1108721455964646.9,0.0044182158789355455
2023-12-09,45738287082.779465,784765349620393.4,0.005828275560956404
2023-12-10,32522907455.1354,586827093456495.5,0.005542161876605053
2023-12-11,73439722153.00081,1716576162655137.0,0.004278267620785724
2023-12-12,50949298751.323494,1052778924749992.0,0.0048395059545310185
2023-12-13,52048903740.06206,1178312275213080.5,0.004417241917525621
2023-12-14,50705135647.59295,1130171227944694.8,0.004486500310205581
2023-12-15,45295863912.66529,846691982519349.1,0.00534974522587146
2023-12-16,34838209804.62335,623319630770009.6,0.005589140480235868
2023-12-17,34788577185.952446,706492071410246.8,0.004924128464245902
2023-12-18,47756103809.10365,1098588430319706.2,0.004347042303659242
2023-12-19,44652102376.80655,1003084899979595.9,0.004451477873678972
2023-12-20,50938216293.868866,1245040187964564.0,0.004091290930708387
2023-12-21,48540508044.3779,1014061527777388.8,0.004786741900244314
2023-12-22,52952055341.495705,963610678555244.6,0.005495171081010382
2023-12-23,36678453473.55852,609948385925142.4,0.006013370035880377
2023-12-24,49487869439.38606,832418162295873.0,0.005945073243343793
2023-12-25,61791267471.70412,940178042116106.5,0.006572294257439513
2023-12-26,63497995685.20617,1301901773121134.8,0.004877326154413189
2023-12-27,56117013318.62942,1132234266044697.5,0.004956307630104358
2023-12-28,59156784243.289925,1018049739784123.4,0.005810795085104002
2023-12-29,52466936793.29747,1124409804926585.0,0.004666175673977082
2023-12-30,31571979255.497116,691398205494247.1,0.00456639589235379
2023-12-31,33150284528.000946,709234835217365.6,0.0046740914125913005
2024-01-01,35569615713.562775,830681321581311.1,0.004281980922100347
2024-01-02,59475594974.455154,1799674334708845.2,0.0033047976418509755
2024-01-03,87721098171.1882,2029676958103993.5,0.004321924127922906
2024-01-04,54136321104.471085,1371076271444194.0,0.003948454380838182
2024-01-05,53790232346.61186,1453450411162003.0,0.0037008646413748446
2024-01-06,32551436942.513603,721852285918136.2,0.004509431857116152
2024-01-07,32686688765.351273,864361303125467.4,0.0037816001997265022
2024-01-08,61943102503.12059,2040901834480188.5,0.003035084855950326
2024-01-09,61407172924.4539,1873149346249178.2,0.003278284940141934
2024-01-10,80445913848.20229,2412611364903471.5,0.00333439173082155
2024-01-11,78135655425.78912,2185301298581864.2,0.003575509495029116
2024-01-12,71987347293.1423,1917281057022812.2,0.0037546580366743685
2024-01-13,38740734579.174,914667413836061.5,0.004235499591780321
2024-01-14,35036756325.28258,756122033195917.6,0.004633743600512731
2024-01-15,41313870766.58991,973986558973242.5,0.004241729045023186
2024-01-16,43058252832.69758,1067647084359427.8,0.004033004301091862
2024-01-17,39884899854.74862,918390547621842.5,0.004342912713771926
2024-01-18,46149125129.81887,1070574304727199.6,0.00431068865804494
2024-01-19,46612959513.868416,1100799791244169.8,0.004234462968164675
2024-01-20,25652639693.2382,496219287713707.56,0.0051696176122920925
2024-01-21,21941306895.362892,399779730334531.25,0.0054883490158449625
2024-01-22,49480956513.28742,1270858438108403.5,0.0038935065487653254
2024-01-23,52355451581.057945,1202156624801605.8,0.004355127318763333
2024-01-24,38430513489.6844,919276293338676.4,0.004180518280321406
2024-01-25,33706603543.672123,759578682054748.1,0.004437539433372704
2024-01-26,42090845342.41876,1093575619933354.6,0.0038489195054461703
2024-01-27,23233655856.785812,493158535207135.1,0.004711194108609978
2024-01-28,29379083865.051003,725651940022724.2,0.0040486467746687176
2024-01-29,35679114815.876175,915999815643949.8,0.0038951006546648357
2024-01-30,41191031963.78364,1048590173038648.6,0.003928229829240011
2024-01-31,41191031963.78364,1076005142894790.0,0.0038281445247526323
2024-02-01,37395400561.0698,943921906486794.8,0.003961704914790316
2024-02-02,32446265629.4181,820539149081523.4,0.003954261739459606
2024-02-03,19982833901.07817,491208316414092.44,0.004068097634615878
2024-02-04,22074604556.957523,643191876991446.4,0.0034320403205669037
2024-02-05,30537384707.22035,815564124859647.9,0.003744326629432798
2024-02-06,31068046590.369072,746756838615048.5,0.004160396662451535
2024-02-07,36200376491.952934,960169557558284.1,0.003770206648085227
2024-02-08,41503446492.373695,1209572666102741.0,0.003431248709190688
2024-02-09,55568898961.204155,1888317379860690.0,0.0029427732622629215
2024-02-10,28755678644.764214,800056353734464.6,0.0035942066468867893
2024-02-11,31441889909.03405,951686037123870.8,0.0033038091011670053
2024-02-12,50208736938.19085,1759460838306813.2,0.0028536433346540613
2024-02-13,57726599602.36846,1819425079519885.5,0.0031727934418493064
2024-02-14,64445260466.54051,2086950451634113.8,0.003088011045785917
2024-02-15,69535515381.89926,2070994033438000.8,0.003357591294768979
2024-02-16,53642426055.65951,1518531188418786.5,0.0035325205346303226
2024-02-17,45474226742.62591,1084294281509200.6,0.004193900818081557
2024-02-18,49519456268.73175,984920578503962.5,0.005027761359596014
2024-02-19,49253085323.254555,1151474252413047.2,0.004277393543106937
2024-02-20,66829164523.33856,1806092874089782.0,0.0037002064224974313
2024-02-21,59274159766.03493,1541185961525766.2,0.0038460095826044127
2024-02-22,55724488916.66366,1358528035317312.5,0.004101828410456619
2024-02-23,49395639192.69954,1125366326883984.8,0.004389294224705534
2024-02-24,33885886716.94958,815135473894668.2,0.0041570864969285234
2024-02-25,36676413682.48974,843536379381498.5,0.00434793502437699
2024-02-26,63025547198.88814,1914602494498350.8,0.0032918345912529277
2024-02-27,81809820747.6722,2909894908040225.0,0.0028114355787085795
2024-02-28,128143000031.10896,5315902514168723.0,0.0024105596310233955
2024-02-29,112013624334.54253,4105256927746428.5,0.0027285411438555725
2024-03-01,76441269874.23657,2568574021265899.0,0.0029760197386315993
2024-03-02,67694789388.052666,1524016751292992.8,0.004441866490681264
2024-03-03,70794216310.56818,1707225128554537.2,0.0041467416995266335
2024-03-04,123978671185.67142,4927758335157633.0,0.002515924336247011
2024-03-05,190115426841.8866,6731206425158425.0,0.0028243885989191315
2024-03-06,128544946340.46591,4680523233170736.0,0.0027463798369693265
2024-03-07,95359357265.31177,3234519877700840.5,0.0029481765724406386
2024-03-08,108267547718.17612,4147979722566769.0,0.0026101272175742506
2024-03-09,63408748732.973885,1528567792346729.8,0.004148245766425954
2024-03-10,77617994988.84895,2527134071245609.5,0.003071384137153891
2024-03-11,118466815089.97621,4859898606532011.0,0.0024376396439783603
2024-03-12,115816595434.84262,4582070618369177.0,0.0025276038952901027
2024-03-13,95387335570.19984,3616480485309880.5,0.002637573628771469
2024-03-14,116483009539.3228,4358215833540613.5,0.002672722370536937
2024-03-15,145058385985.08432,5567332375497214.0,0.002605527678273911
2024-03-16,101719479199.53816,3135205893996156.0,0.003244427404092616
2024-03-17,90350920562.83821,3135146226421629.5,0.002881872615745974
2024-03-18,98365697249.26353,3406504481370339.0,0.00288758455440792
2024-03-19,137509610080.56085,4707137794839433.0,0.0029212998657340452
2024-03-20,123017157089.46585,4668312520888999.0,0.0026351525639941383
2024-03-21,87526522259.91344,2993214336668519.0,0.002924164874785794
2024-03-22,81291307183.38248,2711546414986129.5,0.0029979684925953336
2024-03-23,53743760596.88469,1630629365788977.0,0.003295890637347922
2024-03-24,53627124961.219124,1872752284453605.8,0.002863546097708559
2024-03-25,81222778674.02881,3056379283222516.5,0.0026574836153316337
2024-03-26,77400931671.89507,2588654580796676.5,0.002990006169462532
